,restaurant,clinic,recreation,store,worship,pharmacy,daycare,supermarket,convenience store,long term care,library,bar,museum,hospital
40,1763897,248332,532049,774548,95889,171511,61474,274844,33037,16338,26667,16658,14709,44365
41,1919383,263488,600346,845401,89488,184807,65868,281235,36566,17983,26437,18992,16270,45407
42,2261216,234865,593642,958575,95290,190690,63429,299587,40422,17092,20895,24032,16818,39686
43,2536880,175784,742303,1180693,117747,193711,48187,354612,38900,15734,20158,29209,16023,24048
44,1509413,105021,416950,694107,182297,122543,46310,308913,25857,12238,10097,15283,8934,19333
45,1769809,270573,547952,873708,85043,196988,61310,321677,37220,18113,29350,14516,13684,45960
46,1896466,276206,634998,872154,90498,193356,66319,296764,38683,19478,26616,17003,16521,45243
47,1938867,267138,653542,896594,100155,194639,66354,301294,38156,17966,27175,18783,15679,44653
48,1981740,260184,571014,898334,106490,186070,63166,298486,35786,16808,24840,19063,15556,43712
49,2503731,246604,631883,1214697,138870,215531,51462,385550,40751,16182,19923,25571,14739,40217
50,2394951,160449,716471,1277072,126457,211316,44383,420539,39620,15347,15849,25815,13028,21278
51,1495852,110421,496256,515698,259364,133242,61591,294733,32648,17511,6515,13716,10943,18213
52,1861419,277313,640860,886349,89143,200546,62651,293966,39160,17512,27074,16259,13959,45130
53,1837544,265445,631006,840508,91291,202676,65616,283106,36731,17685,28963,15722,15680,42887
54,1947731,265457,655119,859627,105780,205863,71070,280821,38675,17754,27299,17083,15975,44217
55,2046262,273738,670854,888412,96805,208027,68849,282386,39087,17911,28104,18693,16139,43293
56,2525830,261398,723935,1039919,120472,227757,72776,322637,44466,19387,22913,25572,19001,41729
57,2260068,165471,616930,1018866,124800,191214,44248,338663,35574,15428,17109,27125,15642,21231
58,1919137,125516,518899,960353,188679,164814,53740,349769,31684,15165,13329,17828,11628,17884
59,1694776,265099,558385,788149,87040,199317,64997,286761,35123,17349,28236,14749,13488,43184
60,1685481,248990,522045,748612,81586,184997,60350,261491,35717,16269,25628,14244,13563,40820
61,1661630,219655,491768,739762,79594,176773,57432,249859,32397,14762,26284,14982,14022,38613
62,1661906,215708,465423,721210,72585,162586,55582,238724,32708,13812,21804,14747,13658,37720
63,2144990,211011,562276,895303,85651,179712,57192,271901,37579,15026,20006,21343,16339,35894
64,2183241,142815,637929,982827,108041,168628,40313,297899,36128,12502,15178,25326,15085,18938
65,1789723,102289,543082,790867,164422,137780,44754,314904,31503,11263,11323,17594,11500,16624
66,1562239,230519,519486,733378,76929,170503,56202,268027,30480,14620,23997,13476,12540,39068
67,1483959,209488,470875,680184,71316,161803,52207,241339,29106,13577,22071,12287,11604,35747
68,1738812,234116,561860,781269,90052,176085,61225,258955,35308,15529,24892,15203,13861,40227
69,1801346,232633,532712,810636,82263,181331,59281,260427,34458,15728,22662,16180,14384,40272
70,2227811,223318,605997,955109,93983,195769,62079,301504,39413,15944,17485,22225,15928,38548
71,2227382,145170,618823,1093502,103039,200516,40208,354631,35259,12869,16728,24321,15131,19342
72,1882937,110130,453940,799186,171212,159425,44015,321230,28132,15592,8975,15698,10494,17156
73,1589995,234800,552870,747288,82441,170561,59086,269521,32697,15257,23818,14171,12226,40580
74,1730589,238187,602673,759451,86049,169412,61607,260466,34750,16122,23467,14234,13218,40118
75,1808622,232397,616832,785828,91647,174317,62024,257734,36161,15693,23415,16107,13784,39554
76,1880459,246588,607467,813956,90863,178010,64926,264730,37123,16994,22398,16731,14102,41902
77,2223287,224956,616008,930220,96353,186775,61173,286949,38470,16894,18399,22074,15482,37475
78,2273860,154491,687660,1011971,113101,173193,43168,310093,38426,15313,14397,26978,15577,20016
79,1692704,102233,507685,821513,159941,132528,44404,307843,28156,12200,10579,16345,11154,15222
80,1516859,221205,518765,713865,72923,159031,53554,254480,30731,14562,22266,13180,10823,35681
81,1605319,219897,514981,716451,77485,160526,56553,246165,30932,14560,23259,13938,11657,37328
82,1764110,225105,599704,759657,88768,162971,58373,246554,34886,15278,22366,17108,13461,37245
83,1846706,227340,597147,789608,85692,165399,57292,252544,34501,14797,20899,16913,12722,36736
84,2121729,206856,600926,909373,91919,177540,52458,289040,38078,15158,16432,22916,13170,33598
85,2085492,132903,635150,980364,99184,163257,36726,320085,35660,12033,12858,24176,13139,16530
86,1701789,105889,540181,798816,147151,128210,38656,298378,28698,11180,6881,19802,11383,14934
87,1283791,99701,395349,648501,65135,105172,25808,268453,25325,11327,5668,12767,8870,16716
88,1561937,228251,529120,730399,75876,166904,51962,253666,31488,14921,23736,13571,11477,36073
89,1758273,228167,589460,780023,86262,166763,53331,248911,35274,15345,23167,15714,13139,37433
90,1864945,236911,610484,814043,84444,168308,54609,249311,35542,15850,22249,20515,13987,37020
91,2165875,211846,655388,893327,96183,175863,54483,267289,41670,15046,16387,21553,13158,33035
92,2408646,159519,734997,1125521,109494,193240,44816,335923,41324,14672,18539,26971,14700,21028
93,2026347,116582,634240,956903,177215,156378,48435,351675,35680,13441,12440,18698,11716,18252
94,1881995,256646,628500,892288,79769,190235,57328,302955,37212,15902,27189,14858,12621,42289
95,2074475,275581,692709,935235,89961,201684,63978,302876,42626,17576,28496,17241,16062,44529
96,2146528,268302,723819,938993,96506,195440,64297,296060,41694,16904,27193,19165,16335,44028
97,2179575,260907,708134,961935,85387,197146,60783,295710,43392,16769,26291,19844,15364,43199
98,2453268,235360,739845,1050228,94243,198939,56922,325865,47812,16783,21098,23620,15154,38039
99,2400157,158752,780002,1094101,113574,191508,45406,338905,42662,14527,18326,27154,17392,20385
100,1903404,110192,582316,927862,162762,148791,45667,342908,32794,13012,11460,18464,11919,17148
101,1960696,263177,688540,933478,81495,195315,58059,313072,40617,16678,29785,16538,14741,41936
102,2075911,268336,741303,936437,89973,197097,60147,294660,41786,17888,28341,19153,16147,44810
103,1985575,258309,615314,918303,87615,191763,57762,293115,38255,16459,27682,17597,15336,43345
104,1838704,241996,612217,823959,83484,168746,54198,255449,34604,16628,23091,18432,14431,40130
105,2443486,237423,740533,1060726,97549,208058,56199,320850,45436,16777,21354,26418,16825,39117
106,2334925,154586,657615,1181334,109257,209170,42296,372594,38462,13772,16063,28352,16462,20464
107,1951053,108686,526228,882758,160939,161795,43390,346905,32152,13290,8830,18943,11695,18179
108,1860384,262393,657317,879885,82400,188473,55448,297983,38309,17049,27965,15501,13614,43199
109,2028839,265664,736465,895983,87781,192302,59353,288770,42403,17969,27655,17439,15374,43563
110,2026428,261014,662346,910090,88728,190115,58069,290310,38805,17456,26803,19277,15975,43374
111,2181367,270536,694468,961715,88508,198794,60102,299931,40938,17779,26823,21742,17359,44055
112,2434892,238644,727181,1043423,94879,200481,55008,317897,44802,16831,21262,26965,19328,39306
113,2355068,157268,748189,1074248,111092,183372,44737,336923,44041,15809,17123,31055,18499,20382
114,1959911,119601,588739,917080,171145,150292,47365,344563,33729,14134,10015,20640,13328,18491
115,1874403,262847,638630,883567,83936,183819,56627,301369,38044,17589,28309,16118,15161,42221
116,1961335,256711,705819,855393,87243,180490,58592,279129,39248,16537,25751,16887,15793,41907
117,1965601,249204,698280,856496,89243,175310,58302,277248,40516,16743,26234,18645,16269,41246
118,2093574,257260,683503,904974,88923,184071,58446,285281,40459,17653,25773,19878,15818,42188
119,2405968,235585,726053,1042818,97964,202437,57581,321790,46194,17429,22292,24503,16774,39088
120,2249050,150628,697729,1041127,109102,179175,40522,331351,43861,14076,17168,23616,14947,21522
121,1978582,112030,572042,850692,154954,140755,44936,319863,39242,13280,10675,20289,11886,19966
122,1868840,248878,600830,885888,68764,184320,47539,299727,38958,15533,24939,15692,12892,40627
123,1905989,245415,588300,878056,70677,179655,46753,290399,38578,15419,24713,16232,14233,42004
124,2080093,232439,669917,1002678,77834,200614,48295,374956,42171,16588,23426,23073,14256,38239
125,1444201,109677,624773,681407,78823,132451,34547,342968,33752,16288,8641,15561,13641,16593
126,2030145,181549,583871,963832,71857,178765,37999,289753,38949,13962,18267,22960,13759,31569
127,2021723,132412,615216,976397,91713,167404,33547,304375,37797,12133,14125,24859,16364,19564
128,1716624,99823,503676,799002,149323,133331,38022,306899,31288,11603,8529,17635,12998,17823
129,1795173,247586,608613,840608,74721,180815,50651,291226,37883,15608,26815,14693,13804,41519
130,1927212,251508,651399,858484,79756,182766,52407,279187,39770,15956,26264,16031,14943,42654
131,1979808,249932,657891,885119,83623,184619,52820,287959,40597,15364,26530,18646,15355,42795
132,2056851,249182,662757,910279,80720,185443,54050,282295,76693,16706,26362,19804,14833,42659
133,2322175,228776,687054,997621,86062,192625,50576,306835,45404,16279,21406,23443,16633,38492
134,2252639,148222,666097,1045858,100993,177903,37824,326275,43303,14322,16069,24106,17163,20320
135,1837970,105638,556084,840634,160200,140911,42132,320874,36288,13114,9517,17430,13020,17848
136,1860282,254967,615832,873580,78141,181930,52950,298191,40336,15942,27266,15100,13923,42674
137,1950098,259126,622380,890089,82552,187036,54717,282659,40515,16701,28481,17080,14620,43785
138,2005303,252783,641479,903705,87496,185560,55184,290545,42229,16642,27618,19394,15528,43212
139,2040814,259570,626144,904342,85066,184542,52546,278592,41016,16125,23498,19340,15793,43876
140,2247046,224047,623578,973075,86661,189041,47522,304280,44075,14921,20067,21551,15599,38408
141,2198116,145379,609417,1027681,103131,176086,39911,323488,42028,13476,15277,23446,15332,20296
142,1891205,109824,523580,877162,165952,142091,40964,326076,32214,12399,9602,18371,13660,17177
143,1835353,252631,611488,860569,76610,180359,49127,293463,37621,15382,27600,15417,14221,41951
144,1936926,258258,647453,872252,83700,182152,52653,280050,39828,16325,25808,18535,14775,41895
145,1969786,251978,652577,874515,87988,176539,51110,275738,41002,15625,26238,19328,15287,42615
146,2053844,249447,654816,899678,82536,182436,51323,274800,40872,15468,24835,20256,15264,40975
147,2255473,221967,639199,994617,86147,186478,50291,305521,44742,15708,19303,22917,14412,37455
148,2175165,142091,627305,1011172,101647,170962,38512,318510,43448,13222,14691,23723,14496,19608
149,1817873,103430,527794,838822,158279,136030,40812,312383,34409,11865,8676,16830,12139,16707
150,1768995,252590,556352,853520,73593,176350,48627,282886,35823,15449,24370,14876,12106,39963
151,1885071,256342,622540,858143,76959,180243,49182,269609,38476,15487,26676,16247,14259,41239
152,1980303,247107,613146,895104,79437,180166,49673,276137,40622,15094,24760,20143,15085,41319
153,2187155,256810,638996,961643,77085,193104,49869,296857,44596,15434,24483,23531,15733,40508
154,2419536,228894,643719,1066633,81162,200790,49287,322592,47509,14663,20376,26191,16035,37770
155,2331137,144863,633589,1116219,100473,184884,35201,338565,44247,13091,15919,30266,16332,19700
156,1900197,102147,519399,924780,154782,143374,37615,345508,36847,11522,9262,21737,12752,17003
157,1945949,261786,601589,927741,71060,192872,47366,305466,41145,15882,26035,16443,14006,40898
158,2031231,268245,636907,949144,75575,194904,49877,294057,42556,16664,27335,17311,15394,41792
159,2095351,264005,654767,972653,83138,192877,52719,297958,42141,15894,25546,20484,15341,43401
160,2160425,264071,648872,986362,81551,195348,52271,298498,43206,16058,23731,20707,14613,40939
161,2445823,236072,671533,1104651,87792,208269,52789,331585,48874,16273,20932,24874,16484,38970
162,2364504,151517,682688,1145915,114243,190128,37585,355981,43764,15935,14979,25326,19634,20178
163,1952718,109339,556741,989289,166643,154538,42265,347503,36161,12681,9907,19743,14366,17525
164,1938257,273378,583873,984128,72543,198106,51147,304184,39108,15782,25973,16085,13022,41609
165,2087320,274113,637457,1031572,79484,205442,56479,305998,42275,17227,26699,17582,14287,42788
166,2072900,264765,638084,999863,89366,198003,57043,297758,40764,16707,25930,20107,14346,43008
167,2128713,266287,652689,995259,93354,199453,58710,298864,42049,16199,23990,19292,14535,42454
168,2482854,247733,678596,1105610,93026,208218,58310,327846,48090,17241,19712,24582,16145,39619
169,2457991,165256,714498,1234936,110048,197545,44077,361632,42148,14403,16783,28543,16439,20686
170,1945619,110985,549995,1050599,172934,156662,45640,366480,33896,12863,10471,17120,12235,17319
171,1925562,267433,623628,956041,86187,203503,61065,311522,41875,17448,26652,15314,14000,41998
172,1952394,270707,599668,935140,87475,198717,63503,301992,40582,17619,25976,17409,14003,44406
173,2030173,264128,627434,937075,93811,194555,64666,298064,42413,16960,25062,18322,15455,43221
174,2118112,265468,650063,945023,95029,198297,66354,300400,43558,17261,25001,19253,15161,41816
175,2480813,244860,665556,1051332,101634,203910,65527,320016,47348,17601,20399,25164,17047,38456
176,2561956,167651,749297,1186124,119969,197745,47670,361994,47255,14408,18668,29157,18113,21649
177,2022955,117754,593594,1007521,188273,157610,49876,375794,37934,13825,12436,18049,13699,18188
178,1768893,268948,548039,858772,84736,192503,65559,306526,37302,16647,30188,14264,14389,42756
179,1995670,274224,660430,912585,96460,201081,70764,305688,42902,18902,30724,17754,16754,44134
180,2003124,269860,656456,904832,100885,194764,72239,294141,42721,18080,31638,17351,18990,44606
181,2123621,271718,656049,920531,97521,201949,70798,300936,45271,18847,28086,18072,19335,43257
182,2575142,250328,681379,1085597,106266,218907,67979,339392,49752,18465,23960,24145,17376,39148
183,2494172,156401,690954,1187226,108804,197376,40809,369461,44528,14157,18201,26750,17988,20642
