,restaurant,clinic,recreation,store,worship,pharmacy,daycare,supermarket,convenience store,long term care,library,bar,museum,hospital
106,1305921,183343,434097,767809,58897,158258,34753,275492,31104,11629,7518,8013,6672,25508
107,1342899,177080,439485,740633,58804,150673,33193,272688,31872,11356,7805,8750,6219,24539
108,1415836,179059,453196,763022,62926,158797,35519,283044,32557,11248,7335,9549,7236,25512
109,1516460,189088,471569,834341,63809,170614,37380,303307,34990,12881,8289,10898,7702,25712
110,1615571,163296,456185,861866,65960,164984,34759,318445,35478,11476,6847,12001,6873,25350
111,1600096,110985,418659,1022739,71820,175500,29570,399252,34699,9041,6593,10354,6001,14148
112,1236152,72020,356962,666939,73209,131653,23861,320164,26511,8533,4201,7811,5104,11026
113,1242351,192065,381955,737256,58647,151243,32688,268507,29983,11348,7741,7870,6152,26759
114,1438170,196596,484682,808695,62587,167217,36622,292858,32092,12552,8436,9860,7708,27173
115,1493895,196375,487893,830180,68376,169622,37659,291267,33087,12806,8049,10101,7468,28300
116,1581055,198696,511696,855549,66422,171744,38266,300418,35911,12661,8178,11639,7954,27841
117,1585596,174897,408815,848783,63405,164391,33051,295681,33098,11741,7348,10944,6322,25015
118,1738054,118965,491416,961664,71873,162244,32486,347649,35537,9666,6564,12037,6725,12370
119,1416036,82539,433566,793040,80043,124019,26947,319461,30685,8885,4634,9012,6250,10128
120,1343807,194603,420222,753826,56843,155403,34268,274532,30174,10801,7899,8433,6343,26993
121,1536399,199657,522386,829488,62247,169922,36440,293238,33654,12446,9917,10198,7334,26723
122,1642252,199315,498036,800091,62629,166954,32569,298606,35461,10970,7963,10226,7004,27563
123,1680636,184377,485479,811071,56795,161842,30600,317419,35907,10687,8227,11756,6549,26105
124,1824037,117954,483354,977911,64099,171722,27705,425637,38395,9384,6696,11638,5615,15193
125,1144257,79292,443069,586212,70506,116866,26456,333765,30421,7522,4963,8054,5025,10118
126,1306664,70089,391272,663369,74118,110320,22773,267178,28024,7508,4331,7371,4774,10010
127,1445238,195089,464219,747619,52041,160866,31245,277071,31683,10497,9267,9122,6080,28416
128,1477434,205264,480047,739265,55120,159780,31808,275193,32974,11214,10023,9311,6258,28722
129,1460440,184178,462194,697767,52828,146831,29783,255012,29755,9388,7809,9803,6445,26383
130,1641033,203592,499263,793060,59356,164250,34878,282977,34275,11107,9454,10463,7165,29001
131,1879101,189006,518872,881453,64186,171419,34133,314317,37961,11289,9343,12772,8090,26935
132,1782926,109831,517779,897151,65555,156919,26210,321685,36599,8348,7622,12590,6723,12596
133,1472630,72533,461863,736058,78159,120846,22721,302807,28998,7910,5372,9408,6385,9939
134,1512636,210934,518841,755532,61096,162231,35894,284593,32290,11670,10603,9602,7010,29037
135,1573819,208293,542853,760836,61283,162755,35918,276846,33859,11637,10089,10792,6940,29645
136,1534153,207028,443992,758311,62195,160596,34345,272142,32768,11931,9501,10397,7209,30393
137,1690397,206380,555848,810176,62588,167762,35998,284956,35090,11979,10510,12378,8413,28911
138,1942211,193802,565774,890033,67872,175430,37049,315627,40441,12072,8872,13885,8113,28000
139,1788365,108807,518365,878881,71025,155212,28844,328348,34210,9058,7258,12661,7357,12861
140,1379171,72553,395345,711098,72671,115069,23170,292025,25487,7660,5712,9089,5561,9983
141,1498835,213232,503947,751051,59017,162177,33677,279800,31646,11148,10004,9076,6945,30104
142,1549446,212094,498814,766193,57984,166250,36043,276036,30809,11543,10662,10274,7179,29635
143,1686332,218008,565206,816443,66481,169672,37857,287726,36507,11441,10756,12594,8215,31482
144,1728092,211483,569642,806505,63843,168037,37311,283492,35982,11310,9876,12828,8495,29233
145,1952397,195447,563431,891367,68194,175746,36534,316113,40133,12050,9637,14555,9061,27939
146,1892749,115858,547807,905365,75368,159301,30349,331952,37068,8639,8599,14600,8599,13025
147,1500717,79218,442762,746031,80028,124753,27386,307105,29895,7630,6267,10192,7211,9505
148,1488265,211128,497925,752437,58880,162949,33608,282904,32044,10842,11046,9969,6861,28343
149,1631151,216060,567170,774723,65230,169432,38178,277338,34798,11768,11592,11538,7758,30069
150,1683989,218176,549451,809466,63882,171997,37141,285417,34813,12077,10920,12419,8385,31083
151,1770480,220265,572967,831251,64924,175424,39782,292091,35299,12062,11919,12579,8978,29759
152,2008488,199652,584167,903932,73452,178626,39357,306920,39651,12129,10494,15174,9312,29298
153,1794562,115639,522033,877461,69709,155066,30785,296987,33828,9076,9178,14515,8455,15869
154,1485483,85587,472960,753719,84436,124674,29562,289223,28829,8823,7386,10884,6949,13713
155,1455638,212120,484136,747184,60701,159494,37608,264633,30170,11276,11850,9963,7091,37157
156,1602982,217942,540542,777744,62504,164226,39215,270931,33080,12682,11626,11709,7937,38321
157,1600075,209596,540454,781192,64986,159146,39290,263209,32838,12323,12477,11556,8758,37557
158,1637013,208799,545841,773768,63177,158943,39787,262717,33862,11533,11727,12551,8750,36620
159,1846401,189787,544419,850008,65828,164029,37830,286129,35902,10891,10134,16744,9246,34081
160,1729784,108552,524632,859945,68389,145139,28889,294019,33949,8571,8591,14601,7988,16101
161,1392287,76640,434987,691371,78375,112035,26159,271808,26136,7700,5996,10014,7056,12840
162,1343329,204733,402797,632114,54311,137419,36139,244939,30492,10900,10857,9318,6383,36181
163,1622322,209307,536328,759175,59778,160102,39367,268659,37795,12536,11939,11817,7343,37810
164,1602925,203595,533159,760076,62913,155646,38329,258285,33728,11726,10702,12689,8065,36602
165,1616389,203297,523130,762327,56145,154060,39169,258392,33861,11075,10880,12560,8082,35954
166,1867299,190761,539443,855142,63475,163813,38074,287569,37040,12085,10943,15408,9060,34617
167,1747763,110267,478436,907451,70794,151614,28772,309824,33926,8333,8762,14264,7864,16306
168,1426117,74003,448151,744729,79252,118680,24426,286400,27958,7584,5976,10743,7649,12998
169,1387881,201797,474284,716815,56137,148939,36270,251445,30601,10882,10991,10233,7771,35648
170,1501306,209654,513104,751738,61640,154917,39278,261880,31344,11934,10764,11347,7817,36977
171,1530212,203407,515775,749003,64080,152977,39390,251181,31324,12226,11014,11167,9015,36320
172,1623838,204414,532229,770868,64662,159222,41314,261448,34627,12394,10904,12869,8844,38411
173,2013835,209714,577224,919488,75571,177424,44781,312548,39889,13526,11670,16853,9673,40472
174,1893974,116509,559563,956659,76619,156245,31106,326158,35782,9765,8072,16802,8712,18399
175,1416601,75015,416372,749799,82922,116100,26821,295189,26663,8430,5079,11183,7037,13690
176,1327523,199887,438407,678132,53564,145490,39126,255654,30383,11250,10813,9526,7334,37412
177,1384407,202931,463076,695693,56613,147053,39568,250773,29735,12286,10802,10500,7238,39055
178,1375078,192884,449035,667107,59861,139658,38578,235167,30561,11209,10529,10605,7103,38171
179,1445916,192860,461333,681109,58569,145724,38977,246502,31557,11096,11272,11167,7497,37019
180,1528112,174502,428370,697075,58411,140409,34920,245053,31152,10939,9490,12524,7111,34617
181,1771269,108183,519041,890472,67998,147873,28968,302670,33122,8891,8378,15785,7280,16131
182,1294673,64840,404327,652007,72349,103791,23121,255356,23086,7442,4791,9901,6502,11380
183,1220919,185951,453036,609154,59581,136200,38594,225536,26417,10674,12961,9139,7305,33200
