zip,Low_April,Low_May,High_April,High_May
60601,0.6436449724613953,0.6913115372710656,1.2041176631929025,1.1089024300893306
60602,0.7158789395343926,0.7122636375253688,1.2161529100456836,1.0781238944481826
60603,0.8323703639637742,0.7977446585538761,1.237757496993202,1.0576643275063622
60604,0.8419509420826137,0.7898878603638994,1.2468407190980693,1.0521601851506377
60605,0.5898057406815145,0.6240348466512453,1.223908901053948,1.0779324580102496
60606,0.6672119330228534,0.7004575039410373,1.2302713261854257,1.0994784923621808
60607,0.7796156653009022,0.7373748612154153,1.1882935284970808,1.0815972874725945
60608,0.7499630185754991,0.7645877865204632,1.1510602540049006,1.0716157175778265
60609,0.6878434554820376,0.7047917912060001,1.1287257246427975,1.0776407343530192
60610,0.6230201924402339,0.6830132756439482,1.1743387059673216,1.1009367417172324
60611,0.5834800046501973,0.6183026256147124,1.16951539015733,1.1011644110543468
60612,0.6887151199181052,0.73027505075616,1.123543704403046,1.0870748734258475
60613,0.6099213629248657,0.6002023360841531,1.1603579416379497,1.1144594661014322
60614,0.5617434901768283,0.6181088529215149,1.2061779250917963,1.117999006517372
60615,0.5884571410039376,0.6168993399504445,1.1932923622531573,1.1016040666057516
60616,0.6573241291753478,0.6446358310935725,1.1494761602724883,1.0768824605516707
60617,0.6892313468994908,0.7105587752051541,1.1004308714752717,1.0869715381549416
60618,0.5617987937976889,0.6077374143774599,1.129988582178043,1.1102070425398147
60619,0.6922516998859121,0.6941529133094656,1.102506129211927,1.0818560875338628
60620,0.6929025627688762,0.7108914166069891,1.097656110464519,1.083482336486342
60621,0.7865020204499082,0.8066171363482001,1.0896669816526514,1.0833297788245855
60622,0.631831109050756,0.6921967381795986,1.1384399160300187,1.1207024554179024
60623,0.8306122963915423,0.8585701097615194,1.118451831897287,1.1063490032385683
60624,0.8051805469112485,0.8204345095450993,1.0815514985486423,1.0707877389677645
60625,0.558578535129336,0.5948084942139013,1.1185628753859702,1.0866086552671774
60626,0.5878563945833545,0.6122283545942355,1.1706885296435903,1.081025575840103
60628,0.7021864655974749,0.7217903348528456,1.0891952117622148,1.081944753828318
60629,0.744328417475213,0.7635658224610179,1.0949002140665416,1.0796105394885533
60630,0.5669098216506675,0.5869987764238253,1.11188834717297,1.092324588907997
60631,0.537613415287293,0.5625721551643427,1.099103670216865,1.0749039264551854
60632,0.7164669971590941,0.7278362294943928,1.095100838548001,1.0770981452510693
60633,0.7111080924870835,0.7171067995548944,1.1021325983026347,1.078443780602054
60634,0.6472398432660162,0.6598640230600326,1.099438533252227,1.0888800116300472
60636,0.7817932873225171,0.7962636454610342,1.084976224147064,1.072748052347816
60637,0.7155263459735928,0.7456816603461464,1.1924661332833986,1.1001112007090517
60638,0.6180923269741369,0.661524360134276,1.0904388612042564,1.075032672201722
60639,0.6902870493372915,0.7160589915576707,1.1214021074577527,1.109263470676929
60640,0.6187110566429684,0.6021146641979211,1.1256313819686616,1.0919324578540468
60641,0.6227374253962321,0.6550395335740143,1.1208782656113283,1.1081205620347814
60642,0.6061054125755924,0.6799808072589945,1.1760021281671735,1.1260413848015787
60643,0.6336803731607712,0.6628052778639821,1.096837170618765,1.0786486873664278
60644,0.7271525231818319,0.7445739993543188,1.0880529219460768,1.0836851664414044
60645,0.6005532962831877,0.5839552307741916,1.1065164351762604,1.0914984693404082
60646,0.46248533047980306,0.5320082121212538,1.1084307249066683,1.0984193555262987
60647,0.6373190940282059,0.6941759636658628,1.1479043394723643,1.1083181007768717
60649,0.67910707359615,0.7159256249937707,1.0916766338467516,1.0892217052858035
60651,0.7735728689286252,0.7642096307263183,1.0950109569934945,1.0928511742136557
60652,0.6313288935144333,0.6531438046543546,1.1049919315183332,1.0756048529173172
60653,0.6185683455434907,0.6157384197923141,1.1553123830799468,1.0896882028515416
60654,0.6270208407352272,0.7065317408679637,1.2019636535445284,1.0935832514247386
60655,0.5291525312674523,0.6268625619667881,1.094295294461025,1.0779443498246
60656,0.5944247780300022,0.6236885851787681,1.1026429245516751,1.091491660078425
60657,0.5510363056173812,0.636649024100819,1.1818398986762544,1.1264033510030989
60659,0.5778994639959047,0.5732053507468299,1.1051417580324778,1.09754591763692
60660,0.5654395087379909,0.5936558147202927,1.183354562286373,1.0756032440821277
60661,0.6055838626900367,0.6454245973753152,1.206824323165608,1.117985230509986
60666,0.6433292203181322,0.6903025476660793,1.1159555642941408,1.0892202837891314
60707,0.6201899462157966,0.6578494272471767,1.0905559080942813,1.0992486630337075
60827,0.7741613386702114,0.7759786447876031,1.0752069095203887,1.1023021237757886
